molport_number,smiles,mw,heavy_atoms,num_atoms,logp,hbd,hba,rotatable_bonds,pains
MolPort-000-165-376,COc1cc(O)c2C(=O)CC(Oc2c1)c1ccc(O)cc1,286.283,21,21,2.812900000000001,2,5,2,False
MolPort-001-740-516,CC(CCc1ccc(O)cc1)O[C@@H]1O[C@H](CO[C@@H]2OC(CO)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O,460.4760000000001,32,32,-2.0068999999999986,7,11,9,False
MolPort-002-523-502,CN1CCc2c(C1)[nH]c1ccccc21,186.258,14,14,2.1558,1,1,0,True
MolPort-005-945-020,CC(C)=CC(=O)OC1C2OC(=O)C(=C)C2C(O)C2C(C)=CC(=O)C2=C1C,358.39000000000016,26,26,1.7984,1,6,2,False
MolPort-007-980-820,CC(C)C(O)(C(C)O)C(=O)OC[C@@H]1CC[N+]2([O-])CCC[C@@H]12,301.38300000000004,21,21,0.7943999999999996,2,5,5,False
MolPort-007-980-889,COC(=O)C12CC[C@H](C1C1CCC3[C@@]4(C)C\C(=C/c5ccccc5)C(=O)C(C)(C)C4CC[C@@]3(C)[C@]1(C)CC2)C(C)=C,556.8310000000001,41,41,9.079600000000005,0,3,3,False
MolPort-020-005-946,C[C@H](C[C@H](OC(C)=O)[C@H]1OC1(C)C)C1=C2C[C@H](O)[C@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@]3(C)[C@@]2(C)CC1,514.7470000000004,37,37,6.410900000000008,1,5,5,False
MolPort-035-706-067,COc1cc(ccc1O)[C@H](O)[C@@H](COC(=O)\C=C\c1ccc(O)cc1)Oc1c(OC)cc(\C=C\COC(=O)\C=C\c2ccc(O)cc2)cc1OC,698.7210000000002,51,51,5.836600000000006,4,12,16,False
MolPort-039-142-006,CC(C)=CCc1c(O)cc(O)c2C(=O)[C@H](O)[C@H](Oc12)c1ccccc1,340.37500000000006,25,25,3.283800000000002,3,5,3,False
MolPort-039-338-313,C[C@@]12CCC[C@](C)([C@H]1CC[C@@]13C[C@@H](CC[C@@H]21)C(CO)=C3)C(O)=O,318.457,23,23,4.012500000000003,2,2,2,False
