molecule_chembl_id,activity_value_nm,activity_type,relation,smiles,heavy_atoms
CHEMBL4105008,0.15,IC50,=,O=C(CSc1nnc(Nc2ccccc2)s1)N/N=C/c1ccc(-c2ccccc2Cl)o1,31
CHEMBL218490,0.18,IC50,=,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,19
CHEMBL4100496,0.19,IC50,=,O=C(CSc1nnc(Nc2ccccc2)s1)N/N=C/c1ccc(-c2ccc(Cl)cc2)o1,31
CHEMBL1788291,0.2,IC50,=,CCN[C@H]1CCS(=O)(=O)c2sc(S(N)(=O)=O)cc21.Cl,19
CHEMBL304757,0.2,Ki,=,Nc1c(F)cc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1Br,22
CHEMBL140110,0.2,Ki,=,NS(=O)(=O)c1nc2ccc(NS(=O)(=O)c3c(F)c(F)c(F)c(F)c3F)cc2s1,28
CHEMBL4081323,0.287,IC50,=,O=C(CSC(=S)NN1CCOCC1)NCc1ccc2c(c1)OCO2,24
CHEMBL138253,0.3,Ki,=,Cn1nc(S(N)(=O)=O)sc1=NS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F,25
CHEMBL71611,0.3,Ki,=,Nc1c(F)cc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1Cl,22
CHEMBL142132,0.3,Ki,=,NS(=O)(=O)c1nc2ccc(OS(=O)(=O)c3c(F)c(F)c(F)c(F)c3F)cc2s1,28
CHEMBL18,0.3,IC50,=,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,16
CHEMBL308677,0.3,Ki,=,Nc1c(F)cc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1I,22
CHEMBL94836,0.3,Ki,=,NS(=O)(=O)c1nnc(NS(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)s1,24
CHEMBL4099344,0.338,IC50,=,O=C(CSC(=S)NN1CCSCC1)NCc1ccc2c(c1)OCO2,24
CHEMBL4073678,0.34,IC50,=,O=C(CSc1nnc(Nc2ccccc2)s1)N/N=C/c1ccc(-c2ccccc2[N+](=O)[O-])o1,33
CHEMBL4097972,0.39,IC50,=,O=C(CSc1nnc(Nc2ccccc2)s1)N/N=C/c1ccc(-c2ccc(Cl)cc2Cl)o1,32
CHEMBL2111218,0.4,Ki,=,Cn1nc(S(N)(=O)=O)s/c1=N\C(=O)CN(CCN(CCN(CC(=O)O)CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C)CC(=O)[O-])CC(=O)[O-].[Zn+2],48
CHEMBL4533252,0.4,IC50,=,COc1ccc(C2=NN(C(C)=O)C(c3ccc(OS(N)(=O)=O)cc3)C2)cc1,27
CHEMBL138920,0.4,Ki,=,NS(=O)(=O)c1nnc(NC(=O)CCNS(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)s1,29
CHEMBL4075535,0.41,IC50,=,O=C(CSc1nnc(Nc2ccccc2)s1)N/N=C/c1ccc(-c2ccc(Br)cc2)o1,31
CHEMBL333281,0.44,Ki,=,NS(=O)(=O)c1cc2cc(N3CCSCC3)sc2s1,18
CHEMBL555543,0.44,Ki,=,Cl.NS(=O)(=O)c1cc2cc(CN3CCSCC3)sc2s1,20
CHEMBL4633178,0.46,IC50,=,NS(=O)(=O)c1ccc(N2C(=O)CC/C2=C\C(=O)c2cccc(F)c2)cc1,26
CHEMBL4644942,0.46,IC50,=,NS(=O)(=O)c1ccc(N2C(=O)CC/C2=C\C(=O)c2ccc([N+](=O)[O-])cc2Cl)cc1,29
CHEMBL4072122,0.47,IC50,=,O=C(CSc1nnc(Nc2ccccc2)s1)N/N=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1,33
CHEMBL343916,0.5,Ki,=,NS(=O)(=O)c1nc2ccc(NC(=O)c3c(F)c(F)c(F)c(F)c3F)cc2s1,27
CHEMBL141899,0.5,Ki,=,NS(=O)(=O)c1nc2ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2s1,30
CHEMBL141753,0.5,Ki,=,NS(=O)(=O)c1nc2ccc(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2s1,30
CHEMBL2112274,0.5,Ki,=,NS(=O)(=O)c1nnc(NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)Nc2nnc(S(N)(=O)=O)s2)CC(=O)[O-])CC(=O)[O-])s1.[Zn+2],46
CHEMBL286586,0.5,Ki,=,NS(=O)(=O)c1nc2ccc(NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)Nc3ccc4nc(S(N)(=O)=O)sc4c3)CC(=O)O)CC(=O)O)cc2s1,53
CHEMBL69229,0.5,Ki,=,Nc1c(Br)cc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1Br,22
CHEMBL302706,0.5,Ki,=,Nc1c(Cl)cc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1Cl,22
CHEMBL264879,0.5,Ki,=,NS(=O)(=O)c1nc2ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2s1,42
CHEMBL141624,0.5,Ki,=,NS(=O)(=O)c1nc2ccc(OCCOS(=O)(=O)c3c(F)c(F)c(F)c(F)c3F)cc2s1,31
CHEMBL543319,0.5,IC50,=,COCCOCCN(CCOC)C(C)c1cc2cc(S(N)(=O)=O)sc2s1.Cl,27
CHEMBL158693,0.5,Ki,=,Cn1nc(S(N)(=O)=O)s/c1=N\S(=O)(=O)c1ccc(NCc2cc(=O)oc3cc(Cl)ccc23)cc1,34
CHEMBL346691,0.5,Ki,=,NS(=O)(=O)c1nc2ccc(OCCOC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)OCCOc3ccc4nc(S(N)(=O)=O)sc4c3)CC(=O)O)CC(=O)O)cc2s1,59
CHEMBL4064130,0.53,IC50,=,O=C(CSc1nnc(Nc2ccccc2)s1)N/N=C/c1ccc(-c2cccc(Cl)c2)o1,31
CHEMBL417975,0.54,IC50,=,CC(C)CN[C@H]1CCS(=O)(=O)c2sc(S(N)(=O)=O)cc21,20
CHEMBL79939,0.58,IC50,=,NS(=O)(=O)c1cc2c(s1)S(=O)(=O)C(CCN1CCOCC1)CN2,23
CHEMBL342026,0.6,Ki,=,NS(=O)(=O)c1nc2ccc(OCCOS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2s1,45
CHEMBL34852,0.6,Ki,=,NS(=O)(=O)c1nc2ccc(OCCOC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O)cc2s1,43
CHEMBL285516,0.6,Ki,=,NS(=O)(=O)c1nnc(NC(=O)CCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCCC(=O)Nc2nnc(S(N)(=O)=O)s2)CC(=O)O)CC(=O)O)s1,55
CHEMBL140095,0.6,Ki,=,NS(=O)(=O)c1nc2ccc(OC(=O)c3c(F)c(F)c(F)c(F)c3F)cc2s1,27
CHEMBL13630,0.6,Ki,=,Cn1nc(S(N)(=O)=O)s/c1=N/S(=O)(=O)c1ccc(N)cc1,21
CHEMBL71657,0.6,Ki,=,Nc1c(Br)cc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1I,22
CHEMBL307698,0.6,Ki,=,Nc1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1Cl,21
CHEMBL305488,0.6,Ki,=,Nc1c(Cl)cc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1Br,22
CHEMBL408856,0.6,Ki,=,NS(=O)(=O)c1nc2ccc(OC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)Oc3ccc4nc(S(N)(=O)=O)sc4c3)CC(=O)O)CC(=O)O)cc2s1,53
CHEMBL3137780,0.6,Ki,=,C[C@H](CCC(=O)Oc1ccc2nc(S(N)(=O)=O)sc2c1)[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C,42
CHEMBL140792,0.6,Ki,=,NS(=O)(=O)c1nc2ccc(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2s1,42
CHEMBL304973,0.6,Ki,=,Nc1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1I,21
CHEMBL3137811,0.6,Ki,=,C[C@H](CCC(=O)OCCOc1ccc2nc(S(N)(=O)=O)sc2c1)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,44
CHEMBL4062231,0.622,IC50,=,CN1CCN(NC(=S)SCC(=O)NCc2ccc3c(c2)OCO3)CC1,25
CHEMBL4089189,0.651,IC50,=,O=C(CSC(=S)NN1CCCCC1)NCc1ccc2c(c1)OCO2,24
CHEMBL70524,0.7,Ki,=,Nc1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1Br,21
CHEMBL307939,0.7,Ki,=,NS(=O)(=O)c1nnc(NS(=O)(=O)c2c(F)c(F)cc(F)c2F)s1,23
CHEMBL140481,0.7,Ki,=,NS(=O)(=O)c1nc2ccc(OCCOS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2s1,33
CHEMBL140616,0.7,Ki,=,NS(=O)(=O)c1nc2ccc(OCCOC(=O)c3c(F)c(F)c(F)c(F)c3F)cc2s1,30
CHEMBL69114,0.7,IC50,=,CN(C)Cc1cc(S(=O)(=O)c2ccc(S(N)(=O)=O)s2)ccc1O,23
CHEMBL553832,0.7,IC50,=,COCCOCCNC(C)c1cc2cc(S(N)(=O)=O)sc2s1.Cl,23
CHEMBL4090426,0.799,IC50,=,O=C(CSC(=S)NN1CCN(c2ccc([N+](=O)[O-])cc2)CC1)NCc1ccc2c(c1)OCO2,33
CHEMBL415466,0.8,Ki,=,NS(=O)(=O)c1nc2ccc(NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O)cc2s1,40
CHEMBL68639,0.8,Ki,=,Nc1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1F,21
CHEMBL34317,0.8,Ki,=,NS(=O)(=O)c1nc2ccc(OC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O)cc2s1,40
CHEMBL545239,0.8,IC50,=,CCNC1CCS(=O)(=O)c2sc(S(N)(=O)=O)cc21.Cl,19
CHEMBL306832,0.8,Ki,=,Nc1c(Cl)cc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1I,22
CHEMBL4072105,0.802,IC50,=,CCN1CCN(NC(=S)SCC(=O)NCc2ccc3c(c2)OCO3)CC1,26
CHEMBL4069396,0.855,IC50,=,O=C(CSC(=S)NN1CCN(c2ncccn2)CC1)NCc1ccc2c(c1)OCO2,30
CHEMBL68506,0.9,Ki,=,Nc1c(I)cc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1I,22
CHEMBL344156,0.9,Ki,=,NS(=O)(=O)c1nc2ccc(OS(=O)(=O)C(F)(F)F)cc2s1,21
CHEMBL141351,0.9,Ki,=,NS(=O)(=O)c1nc2ccc(NS(=O)(=O)C(F)(F)F)cc2s1,21
CHEMBL32606,0.9,Ki,=,NS(=O)(=O)c1nnc(NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O)s1,36
CHEMBL544738,0.95,Ki,=,COCCN(CCOC)Cc1cc2sc(S(N)(=O)=O)cc2s1.Cl,23
CHEMBL309870,0.97,Ki,=,COCCN(CCOC)CCC1CNc2cc(S(N)(=O)=O)sc2S1(=O)=O,26
CHEMBL148167,1.0,Ki,=,NS(=O)(=O)c1ccc(NC(S)=NC(Cc2c[nH]cn2)C(=O)NCC(=O)O)cc1,28
CHEMBL140805,1.0,Ki,=,NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccc(NS(=O)(=O)c3c(F)c(F)c(F)c(F)c3F)cc2)s1,34
CHEMBL23435,1.0,Ki,=,CC(=O)Nc1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1Cl,24
CHEMBL140370,1.0,Ki,=,NS(=O)(=O)c1nc2ccc(OCCOS(=O)(=O)C(F)(F)F)cc2s1,24
CHEMBL432083,1.0,Ki,=,NS(=O)(=O)c1nnc(NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)Nc2nnc(S(N)(=O)=O)s2)CC(=O)O)CC(=O)O)s1,45
CHEMBL416410,1.0,Ki,=,NS(=O)(=O)c1nnc(NC(=O)CCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O)s1,41
CHEMBL278603,1.0,Ki,=,CC(=O)Nc1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1F,24
CHEMBL141168,1.0,Ki,=,NS(=O)(=O)c1nc2ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2s1,41
CHEMBL540026,1.1,Ki,=,Cl.NS(=O)(=O)c1cc2cc(CN3CCOCC3)sc2s1,20
CHEMBL333520,1.1,Ki,=,NS(=O)(=O)c1cc2cc(N3CCOCC3)sc2s1,18
CHEMBL3137762,1.1,Ki,=,C[C@H](CCC(=O)NCCC(=O)Nc1nnc(S(N)(=O)=O)s1)[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C,43
CHEMBL120418,1.15,Ki,=,NS(=O)(=O)c1cc2c(s1)C(=O)CCS2,14
CHEMBL50395,1.15,IC50,=,COCCOCCN(CCOC)C(Cc1ccc(F)cc1)c1cc2cc(S(N)(=O)=O)sc2s1,33
CHEMBL353861,1.15,IC50,=,NS(=O)(=O)c1cc2c(s1)S(=O)(=O)N(c1cccc(O)c1)C(CN1CCOCC1)=C2,29
CHEMBL310280,1.19,Ki,=,NS(=O)(=O)c1cc2c(s1)S(=O)(=O)C(CCO)CN2,18
CHEMBL120728,1.2,IC50,=,CN(C)S(=O)(=O)Oc1ccc2nc(S(N)(=O)=O)sc2c1,20
CHEMBL84649,1.2,IC50,=,COC(C)(C)C(=O)Oc1ccc2nc(S(N)(=O)=O)sc2c1,21
CHEMBL84151,1.2,IC50,=,CN(C)OS(=O)(=O)c1ccc2nc(S(N)(=O)=O)sc2c1,20
CHEMBL108502,1.2,Ki,=,NS(=O)(=O)c1nnc(NC(=O)CCNS(=O)(=O)c2ccc(I)cc2)s1,25
CHEMBL84600,1.2,IC50,=,CCOC(C)(C)C(=O)Oc1ccc2nc(S(N)(=O)=O)sc2c1,22
CHEMBL1204135,1.2,IC50,=,CC(C)CN[C@H]1CCS(=O)(=O)c2sc(S(N)(=O)=O)cc21.Cl,21
CHEMBL3137802,1.2,Ki,=,C[C@H](CCC(=O)NCCC(=O)Nc1nnc(S(N)(=O)=O)s1)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,43
CHEMBL105080,1.24,Ki,=,NS(=O)(=O)c1cc2cc(CN3CCOCC3)sc2o1,19
CHEMBL433921,1.27,IC50,=,COc1cccc(N2C(CN3CCOCC3)=Cc3cc(S(N)(=O)=O)sc3S2(=O)=O)c1,30
CHEMBL1340,1.28,IC50,=,COCCCN1C[C@H](N)c2cc(S(N)(=O)=O)sc2S1(=O)=O,21
CHEMBL3138147,1.3,Ki,=,C[C@H](CCC(=O)NCCC(=O)Nc1nnc(S(N)(=O)=O)s1)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,42
