rank,molport_number,smiles,combined_score,boltz_prob_mean,boltz_pred_value_mean,passes_confidence,mw,heavy_atoms,num_atoms,logp,hbd,hba,rotatable_bonds,pains
1,MolPort-023-299-011,CC#CC#Cc1ccc(s1)C#CC(O)CCl,-0.13758405099312465,0.6318098107973734,-0.0744030699133873,True,248.73399999999995,16,16,2.0741,1,2,1,False
2,MolPort-029-887-087,COc1cc(O)ccc1C(=O)\C=C\c1ccc(O)c(O)c1,0.02490740691622098,0.6876673003037771,0.0936741369465987,True,286.283,21,21,2.7081000000000017,3,5,4,True
3,MolPort-029-943-067,Oc1cc(O)c2C(=O)C[C@H](Oc2c1)c1c(O)cccc1O,0.36628065109252933,0.6612874964872996,0.4324094007412593,True,288.255,21,21,2.2155,4,6,1,False
4,MolPort-019-937-493,O[C@H]1CO[C@H](COC(=O)c2cc(O)c(O)c(O)c2)[C@@H](O)[C@@H]1O,0.373271690805753,0.6273190478483835,0.4360035955905914,True,316.262,22,22,-1.5583000000000005,6,9,3,True
5,MolPort-044-831-090,OC1CC(O)c2ccccc2C1O,0.5050744126240412,0.6726690530776978,0.572341317931811,True,180.203,13,13,0.518,3,3,0,False
6,MolPort-000-165-376,COc1cc(O)c2C(=O)CC(Oc2c1)c1ccc(O)cc1,0.613417868812879,0.6026702622572581,0.6736848950386047,True,286.283,21,21,2.812900000000001,2,5,2,False
7,MolPort-001-797-985,COc1cccc2c1cc([N+]([O-])=O)c1c(cc3OCOc3c21)C(O)=O,0.7150284747282664,0.6703105568885803,0.7820595304171244,True,341.2750000000001,25,25,3.336700000000002,1,6,3,False
8,MolPort-001-739-339,OC(=O)c1cc(O)c2C(=O)c3c(O)cc(O)cc3C(=O)c2c1,0.7289502620697021,0.6830638647079468,0.7972566485404968,True,300.22200000000004,22,22,1.277,4,6,1,True
9,MolPort-027-720-871,O[C@@H]1C=CC2=CC(=O)O[C@@H]2[C@H]1O,0.856267406543096,0.6374751130739847,0.9200149178504944,True,168.148,12,12,-0.8702000000000001,2,4,0,False
10,MolPort-000-871-937,Oc1ccc(O)cc1,1.5992702742417653,0.7202846805254618,1.6712987422943115,True,110.11199999999998,8,8,1.0978,2,2,0,False
11,MolPort-000-769-536,COc1c(O)cc2c3c1oc(=O)c1cc(O)c(OC)c(oc2=O)c31,1.6920744846264522,0.6158750553925832,1.7536619901657104,True,330.2480000000001,24,24,1.9188,2,8,2,False
12,MolPort-001-740-516,CC(CCc1ccc(O)cc1)O[C@@H]1O[C@H](CO[C@@H]2OC(CO)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O,999.0,0.2240620131293932,1.0687038501103718,False,460.4760000000001,32,32,-2.0068999999999986,7,11,9,False
13,MolPort-001-739-452,CCC(O)CC1CCC(O1)C(C)C(=O)OC(CC)CC1CCC(O1)C(C)C(O)=O,999.0,0.2377954473098119,-0.0724248737096786,False,414.5390000000002,29,29,3.311300000000002,2,6,11,False
14,MolPort-000-733-857,[I-].C[N+](C)(C)CCc1ccc(O)cc1,999.0,,,False,307.175,14,14,-1.355099999999997,1,1,3,False
